COG1,COG2,COG3,COG4,COG5,COG6,freq_cog1,freq_cog2,freq_cog3,freq_cog4,freq_cog5,freq_cog6,freq_sum
cobQ,group_16679,,,,,0.3927427961579509,0.5528281750266809,,,,,0.9455709711846318
AAK74209.1,xerC_5,,,,,0.05656350053361793,0.07150480256136606,,,,,0.128068303094984
group_10027,group_10030,,,,,0.054429028815368194,0.05869797225186766,,,,,0.11312700106723586
group_14640,nanA_3,,,,,0.08964781216648879,0.20597652081109924,,,,,0.29562433297758806
group_3314,group_3321,,,,,0.054429028815368194,0.11419423692636073,,,,,0.16862326574172892
AAK74629.1,group_7292,,,,,0.16008537886872998,0.15795090715048027,,,,,0.31803628601921025
AAK75860.1,ADM91920.1,,,,,0.09071504802561366,0.4781216648879402,,,,,0.5688367129135539
group_10819,mtlA,,,,,0.06510138740661686,0.5176093916755603,,,,,0.5827107790821772
group_5822,group_5824,,,,,0.1248665955176094,0.05549626467449306,,,,,0.18036286019210246
group_16301,group_16302,,,,,0.09178228388473852,0.064034151547492,,,,,0.1558164354322305
AAK75178.1,group_16938,,,,,0.11846318036286019,0.07897545357524013,,,,,0.19743863393810032
group_10077,prmA,,,,,0.12593383137673425,0.8153681963713981,,,,,0.9413020277481323
ADM84529.1,group_12774,,,,,0.8495197438633938,0.06937033084311633,,,,,0.9188900747065101
ADM84306.1,group_1980,,,,,0.18890074706510138,0.05016008537886873,,,,,0.2390608324439701
CBW32241.1,group_18831,,,,,0.15474919957310565,0.052294557097118465,,,,,0.20704375667022412
ACO20716.1,tsf_2,,,,,0.09071504802561366,0.39807897545357523,,,,,0.4887940234791889
group_9315,yheH,,,,,0.192102454642476,0.7331910352187834,,,,,0.9252934898612594
AAK76176.1,ACO23028.1,,,,,0.6264674493062967,0.06616862326574173,,,,,0.6926360725720384
eno_1,eno_2,,,,,0.052294557097118465,0.14087513340448238,,,,,0.19316969050160085
dps,group_11155,,,,,0.8132337246531484,0.08217716115261472,,,,,0.8954108858057631
group_14098,group_14100,,,,,0.0832443970117396,0.052294557097118465,,,,,0.13553895410885805
group_3404,group_3406,,,,,0.12273212379935966,0.12166488794023479,,,,,0.24439701173959444
CAR69549.1,group_7574,,,,,0.3831376734258271,0.0768409818569904,,,,,0.4599786552828175
group_8131,ppc,,,,,0.06616862326574173,0.8431163287086446,,,,,0.9092849519743863
comYC,group_2732,,,,,0.3660618996798292,0.44930629669156885,,,,,0.8153681963713981
CAR68808.1,group_7651,,,,,0.22838847385272146,0.06616862326574173,,,,,0.2945570971184632
group_1370,group_1374,,,,,0.06510138740661686,0.060832443970117396,,,,,0.12593383137673425
